,lemmatized_title,lemmatized_body
0,"(0, '0.036*""multiple"" + 0.036*""possible"" + 0.036*""api"" + 0.036*""group""')","(0, '0.015*""possible"" + 0.012*""user"" + 0.012*""send"" + 0.012*""apps""')"
1,"(1, '0.060*""private"" + 0.041*""code"" + 0.021*""employer"" + 0.021*""github""')","(1, '0.031*""private"" + 0.022*""hasher"" + 0.018*""api"" + 0.018*""app""')"
2,"(2, '0.037*""first"" + 0.037*""store"" + 0.037*""current"" + 0.037*""record""')","(2, '0.021*""reason"" + 0.021*""swift"" + 0.021*""foundation"" + 0.014*""private""')"
3,"(3, '0.007*""private"" + 0.007*""get"" + 0.007*""privacy"" + 0.007*""policy""')","(3, '0.030*""library"" + 0.029*""deleted"" + 0.018*""app"" + 0.018*""using""')"
4,"(4, '0.049*""kill"" + 0.049*""class"" + 0.049*""swift"" + 0.049*""paradigm""')","(4, '0.002*""app"" + 0.001*""device"" + 0.001*""account"" + 0.001*""working""')"
5,"(5, '0.067*""io"" + 0.045*""get"" + 0.045*""java"" + 0.024*""anyone""')","(5, '0.027*""app"" + 0.012*""private"" + 0.012*""like"" + 0.012*""submit""')"
6,"(6, '0.067*""app"" + 0.045*""get"" + 0.045*""number"" + 0.045*""privacy""')","(6, '0.029*""need"" + 0.020*""three"" + 0.020*""file"" + 0.020*""first""')"
7,"(7, '0.064*""private"" + 0.034*""xcode"" + 0.034*""project"" + 0.034*""core""')","(7, '0.017*""action"" + 0.012*""query"" + 0.010*""record"" + 0.010*""let""')"
8,"(8, '0.034*""go"" + 0.034*""work"" + 0.034*""explain"" + 0.034*""zarra""')","(8, '0.037*""app"" + 0.026*""device"" + 0.022*""account"" + 0.022*""working""')"
9,"(9, '0.064*""private"" + 0.034*""get"" + 0.034*""method"" + 0.034*""using""')","(9, '0.053*""method"" + 0.032*""private"" + 0.016*""class"" + 0.016*""get""')"
